# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Uelm_Ex
# 18 Uelm_Ey
# 19 Uelm_Ez
# 20 Uelm_Bx_m
# 21 Uelm_By_m
# 22 Uelm_Bz_m
# 23 ExMin
# 24 ExMinCell
# 25 ExMax
# 26 ExMaxCell
# 27 EyMin
# 28 EyMinCell
# 29 EyMax
# 30 EyMaxCell
# 31 EzMin
# 32 EzMinCell
# 33 EzMax
# 34 EzMaxCell
# 35 Bx_mMin
# 36 Bx_mMinCell
# 37 Bx_mMax
# 38 Bx_mMaxCell
# 39 By_mMin
# 40 By_mMinCell
# 41 By_mMax
# 42 By_mMaxCell
# 43 Bz_mMin
# 44 Bz_mMinCell
# 45 Bz_mMax
# 46 Bz_mMaxCell
# 47 JxMin
# 48 JxMinCell
# 49 JxMax
# 50 JxMaxCell
# 51 JyMin
# 52 JyMinCell
# 53 JyMax
# 54 JyMaxCell
# 55 JzMin
# 56 JzMinCell
# 57 JzMax
# 58 JzMaxCell
# 59 RhoMin
# 60 RhoMinCell
# 61 RhoMax
# 62 RhoMaxCell
# 63 PoyXmin
# 64 PoyXminInst
# 65 PoyXmax
# 66 PoyXmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyXmax         PoyXmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.0799927976e-01    6.8867886426e-01   4.0069751394e-171   5.8183506818e-171   1.8113755424e-171    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   5.8183506818e-171    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.8113755424e-171    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.7629206029e-172    0.0000000000e+00   5.3420586215e-171    0.0000000000e+00    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0   -1.2267050332e-85                   0    0.0000000000e+00                   2    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   3    4.0705234058e-85                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0   1.8113755424e-171   1.7863974005e-171    0.0000000000e+00    0.0000000000e+00
    6.1599855953e-01    4.1782258101e-01   3.1549774834e-166   7.5509980235e-166   4.3960205401e-166    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.5509980235e-166    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.3960205401e-166    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.8151333507e-166    0.0000000000e+00   5.7358646727e-166    0.0000000000e+00    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75   -7.0843313064e-83                   0    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    1.2489499786e-82                   0    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0   4.3960205401e-166   3.7777001432e-166    0.0000000000e+00    0.0000000000e+00
    9.2399783929e-01    3.3973013317e-01   9.0059272675e-163   2.6509062306e-162   1.7503135039e-162    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.6509062306e-162    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.7503135039e-162    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.7584701391e-163    0.0000000000e+00   1.8750592167e-162    0.0000000000e+00    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   -4.4126373540e-81                   0    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 300    6.8259332280e-81                   0    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300   1.7503135039e-162   1.3655098739e-162    0.0000000000e+00    0.0000000000e+00
    1.2319971191e+00    3.0263194050e-01   7.8382207937e-160   2.5900176897e-159   1.8061956103e-159    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.5900176897e-159    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.8061956103e-159    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   8.2284722230e-160    0.0000000000e+00   1.7671704674e-159    0.0000000000e+00    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150   -1.3929162201e-79                   0    0.0000000000e+00                 150    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    2.0346338281e-79                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150   1.8061956103e-159   1.3237501532e-159    0.0000000000e+00    0.0000000000e+00
    1.5399963988e+00    2.8071468892e-01   3.6450232633e-157   1.2984797046e-156   9.3397737822e-157    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.2984797046e-156    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   9.3397737822e-157    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.3167735605e-157    0.0000000000e+00   8.6680234850e-157    0.0000000000e+00    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   -3.1220929862e-78                   0    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    4.4138183410e-78                   0    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                  75    0.0000000000e+00                  75   9.3397737822e-157   6.5539019304e-157    0.0000000000e+00    0.0000000000e+00
    1.8479956786e+00    2.6605253146e-01   1.1428676635e-154   4.2956466425e-154   3.1527789790e-154    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.2956466425e-154    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.1527789790e-154    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.4703102627e-154    0.0000000000e+00   2.8253363798e-154    0.0000000000e+00    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                 150    0.0000000000e+00                 150   -5.6702845854e-77                   0    0.0000000000e+00                 150    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                 450    7.8463606920e-77                   0    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   3.1527789790e-154   2.1421282874e-154    0.0000000000e+00    0.0000000000e+00
    2.1559949583e+00    2.5541173633e-01   2.7216210140e-152   1.0655818143e-151   7.9341971292e-152    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.0655818143e-151    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.9341971292e-152    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.7230270494e-152    0.0000000000e+00   6.9327910938e-152    0.0000000000e+00    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150   -8.9107364843e-76                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    1.2142553354e-75                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150   7.9341971292e-152   5.2566835885e-152    0.0000000000e+00    0.0000000000e+00
    2.4639942381e+00    2.4722897270e-01   5.2753402836e-150   2.1337872442e-149   1.6062532159e-149    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.1337872442e-149    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.6062532159e-149    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.5715275815e-150    0.0000000000e+00   1.3766344861e-149    0.0000000000e+00    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   -1.2578882793e-74                   0    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    1.6941709213e-74                   0    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300   1.6062532159e-149   1.0426213192e-149    0.0000000000e+00    0.0000000000e+00
    2.7719935179e+00    2.4065706463e-01   8.6952804370e-148   3.6131415674e-147   2.7436135237e-147    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.6131415674e-147    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.7436135237e-147    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.2978603784e-147    0.0000000000e+00   2.3152811890e-147    0.0000000000e+00    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                  75    0.0000000000e+00                  75   -1.6329001956e-73                   0    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    2.1788182829e-73                   0    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375   2.7436135237e-147   1.7505201034e-147    0.0000000000e+00    0.0000000000e+00
